,sent,item
0,"See "" Approved <http://www.ins.usdoj.gov/graphics/index.htm Visa Total Down.""",['http://www.ins.usdoj.gov/graphics/index.htm']
1,_________________________________________________________________ Send and receive Hotmail on your mobile device: http://mobile.msn.com,['http://mobile.msn.com']
2,The correct URL is http://www.goelive.com.,['http://www.goelive.com.']
3,<http://4at2.com/email_domains/hag/0001/final/images/spacer.gif Software Stroll down memory lane with some arcade classics from the good ol' days.,['http://4at2.com/email_domains/hag/0001/final/images/spacer.gif']
4,Click here: Bin Laden Liquors - The http://www.fieler.com/terror/ Game,['http://www.fieler.com/terror/']
5,"Place and time TBD http://www.ncaa.org/library/records/football_records_book/division_ia_records.Speaking of SEC dominance, Brian and I made a 100 dollar bet this weekend.",['http://www.ncaa.org/library/records/football_records_book/division_ia_records.Speaking']
6,Any new users that need access to the DMS will be required too sign up for access through <http://itcapps.corp.enron.com/srrs/entry/srrs.asp .,['http://itcapps.corp.enron.com/srrs/entry/srrs.asp']
7,"Visit us at http://BigWinSports.Com, to play and win.","['http://BigWinSports.Com,']"
8,"See "" INS Grants Work Authorization To <http://www.gaogov/ Ineligible Workers.""",['http://www.gaogov/']
9,"See "" Motor Strike <http://allafrica.com/stories/printable/200108080316html .""",['http://allafrica.com/stories/printable/200108080316html']
10,ISC Customer Care Group http://rc.enron.com/survey/survey_1.asp?id=000000000004420,['http://rc.enron.com/survey/survey_1.asp?id=000000000004420']
11,Be sure to bookmark www.orbitz.com <http://www.orbitz.com now and check back frequently for the most low fares on the Web.,"['www.orbitz.com', 'http://www.orbitz.com']"
12,?http://www.sightings.com/general5/mandate.htm - The County By County Mandate For Bush - See For Yourself.url,['http://www.sightings.com/general5/mandate.htm']
13,"State Of The Workforce <http://www.dol.gov/opa/media/press/opa/opa2001290.htm .""",['http://www.dol.gov/opa/media/press/opa/opa2001290.htm']
14,"See "" Health Workers Choose Not To Strike <http://allafrica.com.stories/printable/200106250425.html .""",['http://allafrica.com.stories/printable/200106250425.html']
15,<http://www.rigzone.com/images/spacer.gif,['http://www.rigzone.com/images/spacer.gif']
16,Visit www.ourlucaya.com for an online preview of why you'll remember this paradise for years to come.,['www.ourlucaya.com']
17,http://go.msn.com/newsletter3817/27284.asp Toyota Tundra Belt yourself into the newest 2001 Toyota Tundra and experience Tundra Madness 2.0!,['http://go.msn.com/newsletter3817/27284.asp']
18,FREE MSN Explorer download : http://explorer.msn.com,['http://explorer.msn.com']
19,"See "" A <http://www.thepost.kiev.ua/main/9415 Work Force In Transition.""",['http://www.thepost.kiev.ua/main/9415']
20,"See "" HCMC Income Tax Regulation <http://www.bmck.com/gel/articles/Vietnam - Foreign Workers Income Tax Collection.doc .""",['http://www.bmck.com/gel/articles/Vietnam']
21,TH http://www.renaissancehotels.com/dpp/PropertyPage.asp?MarshaCode=SFOSR,['http://www.renaissancehotels.com/dpp/PropertyPage.asp?MarshaCode=SFOSR']
22,http://toinfo.oasis.mapp.org/oac/oac2/script/atcs.html,['http://toinfo.oasis.mapp.org/oac/oac2/script/atcs.html']
23,Get instant insurance quotes <http://capitalone.bfi0.com/Y0RH0615A5E43EDF1974 .,['http://capitalone.bfi0.com/Y0RH0615A5E43EDF1974']
24,"See "" Extra <http://allafrica.com/stories/printable/200110030185.html Budget Requests.""",['http://allafrica.com/stories/printable/200110030185.html']
25,The CEC report is available at www.energy.ca.gov/publications.,['www.energy.ca.gov/publications.']
26,Your site is always at http://basketball.commissioner.com/efba BK10SP,['http://basketball.commissioner.com/efba']
27,-- Jeff --------------------- This message brought to you by http://www.SaveOurRockets.com .,['http://www.SaveOurRockets.com']
28,What a jerk -------------------------- Sent from my BlackBerry Wireless Handheld (www.BlackBerry.net),['www.BlackBerry.net)']
29,Information on PPREAT and its activities will be available at www.resource-solutions.org.,['www.resource-solutions.org.']
